IB connected 127.0.0.1:4002 (PAPER)  accounts=['DUQ159823']  serverVersion=178
Error 10090, reqId 85: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383305, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7620.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07620000', tradingClass='SPXW')
Error 10090, reqId 96: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897221999, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7650.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07650000', tradingClass='SPXW')
Error 10090, reqId 97: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121752, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7655.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07655000', tradingClass='SPXW')
Error 10090, reqId 98: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121178, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7655.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07655000', tradingClass='SPXW')
Error 10090, reqId 99: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383375, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7660.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07660000', tradingClass='SPXW')
Error 10090, reqId 100: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383116, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7660.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07660000', tradingClass='SPXW')
Error 10090, reqId 101: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464532, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7665.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07665000', tradingClass='SPXW')
Error 10090, reqId 102: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464492, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7665.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07665000', tradingClass='SPXW')
Error 10090, reqId 103: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383390, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7670.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07670000', tradingClass='SPXW')
Error 10090, reqId 104: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383127, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7670.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07670000', tradingClass='SPXW')
Error 10090, reqId 105: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222474, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7675.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07675000', tradingClass='SPXW')
Error 10090, reqId 106: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222001, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7675.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07675000', tradingClass='SPXW')
Error 10090, reqId 107: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383414, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7680.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07680000', tradingClass='SPXW')
Error 10090, reqId 108: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900383147, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7680.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07680000', tradingClass='SPXW')
Error 10090, reqId 109: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464539, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7685.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07685000', tradingClass='SPXW')
Error 10090, reqId 110: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464498, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7685.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07685000', tradingClass='SPXW')
Error 10090, reqId 111: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900714065, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7690.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07690000', tradingClass='SPXW')
Error 10090, reqId 112: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900713970, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7690.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07690000', tradingClass='SPXW')
Error 10090, reqId 113: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464542, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7695.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07695000', tradingClass='SPXW')
Error 10090, reqId 114: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464503, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7695.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07695000', tradingClass='SPXW')
Error 10090, reqId 115: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222479, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7700.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07700000', tradingClass='SPXW')
Error 10090, reqId 116: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222011, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7700.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07700000', tradingClass='SPXW')
Error 10090, reqId 117: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464546, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7705.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07705000', tradingClass='SPXW')
Error 10090, reqId 118: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464504, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7705.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07705000', tradingClass='SPXW')
Error 10090, reqId 119: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900714075, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7710.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07710000', tradingClass='SPXW')
Error 10090, reqId 120: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900713988, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7710.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07710000', tradingClass='SPXW')
Error 10090, reqId 121: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464551, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7715.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07715000', tradingClass='SPXW')
Error 10090, reqId 122: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464509, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7715.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07715000', tradingClass='SPXW')
Error 10090, reqId 123: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900714088, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7720.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07720000', tradingClass='SPXW')
Error 10090, reqId 124: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=900713995, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7720.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07720000', tradingClass='SPXW')
Error 10090, reqId 125: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222484, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7725.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07725000', tradingClass='SPXW')
Error 10090, reqId 126: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222017, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7725.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07725000', tradingClass='SPXW')
Error 10090, reqId 127: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121807, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7730.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07730000', tradingClass='SPXW')
Error 10090, reqId 128: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907121236, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7730.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07730000', tradingClass='SPXW')
Error 10090, reqId 129: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861678, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7735.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07735000', tradingClass='SPXW')
Error 10090, reqId 130: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907860995, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7735.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07735000', tradingClass='SPXW')
Error 10090, reqId 131: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464552, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7740.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07740000', tradingClass='SPXW')
Error 10090, reqId 132: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464512, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7740.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07740000', tradingClass='SPXW')
Error 10090, reqId 133: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861721, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7745.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07745000', tradingClass='SPXW')
Error 10090, reqId 134: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861040, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7745.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07745000', tradingClass='SPXW')
Error 10090, reqId 135: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898729245, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7750.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07750000', tradingClass='SPXW')
Error 10090, reqId 136: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898728019, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7750.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07750000', tradingClass='SPXW')
Error 10090, reqId 137: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861770, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7755.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07755000', tradingClass='SPXW')
Error 10090, reqId 138: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861088, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7755.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07755000', tradingClass='SPXW')
Error 10090, reqId 139: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464557, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7760.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07760000', tradingClass='SPXW')
Error 10090, reqId 140: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464517, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7760.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07760000', tradingClass='SPXW')
Error 10090, reqId 141: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861817, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7765.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07765000', tradingClass='SPXW')
Error 10090, reqId 142: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861134, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7765.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07765000', tradingClass='SPXW')
Error 10090, reqId 143: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464566, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7770.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07770000', tradingClass='SPXW')
Error 10090, reqId 144: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464522, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7770.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07770000', tradingClass='SPXW')
Error 10090, reqId 145: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898729269, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7775.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07775000', tradingClass='SPXW')
Error 10090, reqId 146: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=898728047, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7775.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07775000', tradingClass='SPXW')
Error 10090, reqId 147: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464569, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7780.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07780000', tradingClass='SPXW')
Error 10090, reqId 148: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464527, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7780.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07780000', tradingClass='SPXW')
Error 10090, reqId 149: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861880, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7785.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07785000', tradingClass='SPXW')
Error 10090, reqId 150: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861189, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7785.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07785000', tradingClass='SPXW')
Error 10090, reqId 151: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464572, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7790.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07790000', tradingClass='SPXW')
Error 10090, reqId 152: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907464529, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7790.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07790000', tradingClass='SPXW')
Error 10090, reqId 153: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861930, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7795.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07795000', tradingClass='SPXW')
Error 10090, reqId 154: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861229, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7795.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07795000', tradingClass='SPXW')
Error 10090, reqId 155: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222494, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7800.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07800000', tradingClass='SPXW')
Error 10090, reqId 156: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=897222020, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7800.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07800000', tradingClass='SPXW')
Error 10090, reqId 157: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861947, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7805.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07805000', tradingClass='SPXW')
Error 10090, reqId 158: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861261, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7805.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07805000', tradingClass='SPXW')
Error 10090, reqId 159: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861981, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7810.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07810000', tradingClass='SPXW')
Error 10090, reqId 160: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861307, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7810.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07810000', tradingClass='SPXW')
Error 10090, reqId 161: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907862005, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7815.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806P07815000', tradingClass='SPXW')
Error 10090, reqId 162: Part of requested market data is not subscribed. Subscription-independent ticks are still active.Delayed market data is available.SPX S&P 500 Stock Index/TOP/ALL, contract: Option(conId=907861336, symbol='SPX', lastTradeDateOrContractMonth='20260806', strike=7815.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPXW  260806C07815000', tradingClass='SPXW')
