dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,Date,yr,gap,vix_prev
S,BULL,False,1857.5,46.05,63,13.75,1.5,37.5,09,2020-05-06,2020,0.523,33.61
S,NEUTRAL,False,1370.0,46.05,33,13.75,9.75,27.75,12,2020-05-06,2020,0.523,33.61
L,BEAR,False,-705.0,46.05,11,13.75,27.5,-26.0,13,2020-05-06,2020,0.523,33.61
S,NEUTRAL,False,-717.5,46.85,7,14.0,17.0,-2.25,10,2020-05-07,2020,1.121,34.12
S,BEAR,True,332.5,46.85,30,14.0,2.25,7.0,12,2020-05-07,2020,1.121,34.12
L,BULL,True,982.5,43.8,70,13.25,6.75,20.0,09,2020-05-08,2020,0.749,31.44
L,BULL,True,1120.0,43.8,63,13.25,4.0,22.75,09,2020-05-08,2020,0.749,31.44
S,BEAR,True,-680.0,43.8,17,13.25,22.5,-21.0,13,2020-05-08,2020,0.749,31.44
S,BULL,False,-642.5,41.92,21,12.5,31.75,-18.25,09,2020-05-11,2020,0.746,27.98
S,BULL,False,3420.0,42.33,70,12.75,6.75,68.75,09,2020-05-12,2020,0.307,27.57
S,NEUTRAL,False,3382.5,42.33,43,12.75,2.5,68.0,11,2020-05-12,2020,0.307,27.57
S,BEAR,True,2520.0,42.33,18,12.75,6.0,50.75,13,2020-05-12,2020,0.307,27.57
S,BEAR,True,-30.0,45.1,36,13.5,7.5,-0.25,12,2020-05-13,2020,0.122,33.04
S,BEAR,True,-755.0,48.88,1,14.75,83.0,-76.0,09,2020-05-14,2020,0.722,35.28
S,NEUTRAL,False,-755.0,48.88,5,14.75,37.25,-30.25,13,2020-05-14,2020,0.722,35.28
L,NEUTRAL,False,-830.0,54.55,4,16.25,23.75,8.0,09,2020-05-15,2020,0.715,32.61
S,BULL,False,-830.0,54.55,21,16.25,24.5,-11.5,11,2020-05-15,2020,0.715,32.61
L,NEUTRAL,False,245.0,54.55,33,16.25,3.75,5.25,12,2020-05-15,2020,0.715,32.61
L,NEUTRAL,False,120.0,54.55,31,16.25,6.25,2.75,12,2020-05-15,2020,0.715,32.61
S,BULL,False,-842.5,54.95,9,16.5,33.25,-15.75,09,2020-05-18,2020,2.193,31.89
L,BULL,True,-242.5,54.95,27,16.5,9.0,-4.5,12,2020-05-18,2020,2.193,31.89
L,BULL,True,-280.0,54.95,16,16.5,9.75,-5.25,13,2020-05-18,2020,2.193,31.89
L,NEUTRAL,False,-830.0,54.35,36,16.25,35.75,-33.25,10,2020-05-19,2020,0.199,29.3
S,BEAR,True,1632.5,54.35,32,16.25,7.5,33.0,12,2020-05-19,2020,0.199,29.3
L,BULL,True,-830.0,54.35,0,16.25,39.25,-36.75,13,2020-05-19,2020,0.199,29.3
S,BULL,False,145.0,55.1,65,16.5,4.5,3.25,09,2020-05-20,2020,0.975,30.53
S,BEAR,True,1370.0,52.48,71,15.75,6.25,27.75,09,2020-05-21,2020,0.099,27.99
S,BEAR,True,757.5,52.48,48,15.75,3.25,15.5,11,2020-05-21,2020,0.099,27.99
L,NEUTRAL,False,707.5,53.75,66,16.0,9.75,14.5,09,2020-05-22,2020,0.133,29.53
S,BULL,False,-30.0,52.92,19,16.0,0.75,-0.25,10,2020-05-25,2020,0.867,
S,BEAR,True,-680.0,44.25,9,13.25,56.5,-55.5,10,2020-05-27,2020,0.602,28.01
S,BULL,False,-667.5,43.1,28,13.0,23.5,4.0,09,2020-05-28,2020,0.201,27.62
S,BEAR,True,-592.5,38.35,47,11.5,42.25,-41.5,09,2020-05-29,2020,0.434,28.59
S,BULL,False,-592.5,38.35,0,11.5,48.5,-47.75,11,2020-05-29,2020,0.434,28.59
L,BEAR,False,2357.5,38.35,26,11.5,9.25,47.5,13,2020-05-29,2020,0.434,28.59
L,BULL,True,520.0,39.65,73,12.0,3.75,10.75,09,2020-06-01,2020,0.554,27.51
L,BULL,True,357.5,39.65,68,12.0,7.0,7.5,09,2020-06-01,2020,0.554,27.51
S,BULL,False,-480.0,38.73,67,11.5,11.0,-9.25,09,2020-06-02,2020,0.219,28.23
S,BEAR,True,-592.5,38.73,21,11.5,23.25,-21.5,10,2020-06-02,2020,0.219,28.23
L,BULL,True,545.0,38.73,25,11.5,8.0,11.25,13,2020-06-02,2020,0.219,28.23
S,BULL,False,-580.0,37.48,13,11.25,25.5,-13.5,09,2020-06-03,2020,0.57,26.84
S,BULL,False,95.0,37.48,16,11.25,9.75,2.25,13,2020-06-03,2020,0.57,26.84
S,BULL,False,695.0,38.48,65,11.5,1.5,14.25,09,2020-06-04,2020,0.247,25.66
S,BULL,False,95.0,38.48,24,11.5,0.5,2.25,13,2020-06-04,2020,0.247,25.66
S,NEUTRAL,False,-592.5,38.4,9,11.5,32.0,-8.5,09,2020-06-05,2020,1.5,25.81
L,NEUTRAL,False,1095.0,40.02,48,12.0,2.5,22.25,11,2020-06-08,2020,0.318,24.52
S,NEUTRAL,False,-617.5,40.02,13,12.0,27.5,-23.0,11,2020-06-08,2020,0.318,24.52
L,BULL,True,545.0,40.02,20,12.0,1.5,11.25,13,2020-06-08,2020,0.318,24.52
S,BULL,False,307.5,43.08,62,13.0,9.0,6.5,10,2020-06-09,2020,0.654,25.81
S,BEAR,True,220.0,43.08,17,13.0,10.75,4.75,13,2020-06-09,2020,0.654,25.81
L,BEAR,False,-655.0,42.55,1,12.75,27.25,-22.25,13,2020-06-10,2020,0.155,27.57
L,BEAR,False,-605.0,39.58,2,11.75,108.75,-93.25,09,2020-06-11,2020,1.833,27.57
L,BEAR,False,-730.0,47.17,7,14.25,50.25,3.5,11,2020-06-12,2020,1.766,40.79
S,BULL,False,-792.5,51.45,10,15.5,75.5,-70.0,09,2020-06-15,2020,1.529,36.09
L,BULL,True,1757.5,51.45,28,15.5,2.0,35.5,12,2020-06-15,2020,1.529,36.09
S,NEUTRAL,False,970.0,59.83,70,18.0,6.5,19.75,09,2020-06-16,2020,2.014,34.4
S,NEUTRAL,False,-917.5,59.83,12,18.0,23.5,-10.0,10,2020-06-16,2020,2.014,34.4
L,BEAR,False,-992.5,64.75,66,19.5,22.75,-10.5,09,2020-06-17,2020,0.272,33.67
L,BULL,True,-5.0,64.97,68,19.5,12.0,0.25,09,2020-06-18,2020,0.526,33.47
L,NEUTRAL,False,-330.0,64.97,57,19.5,18.5,-6.25,10,2020-06-18,2020,0.526,33.47
S,BEAR,True,1870.0,63.88,37,19.25,6.5,37.75,12,2020-06-19,2020,1.08,32.94
L,BEAR,False,1182.5,68.33,66,20.5,11.5,24.0,09,2020-06-22,2020,0.475,35.12
L,BULL,True,495.0,68.33,34,20.5,10.75,10.25,12,2020-06-22,2020,0.475,35.12
L,NEUTRAL,False,-1055.0,69.3,43,20.75,21.75,-19.75,11,2020-06-23,2020,0.545,31.77
S,BEAR,True,-542.5,69.22,45,20.75,15.75,-10.5,11,2020-06-24,2020,0.506,31.37
S,BEAR,True,-1117.5,73.55,51,22.0,43.75,-34.25,09,2020-06-25,2020,0.425,33.84
L,NEUTRAL,False,-1042.5,68.15,33,20.5,29.75,-14.0,10,2020-06-26,2020,0.23,32.22
S,BEAR,True,95.0,68.15,42,20.5,14.0,2.25,11,2020-06-26,2020,0.23,32.22
S,BULL,False,-655.0,64.65,31,19.5,14.25,-12.75,12,2020-06-29,2020,0.13,34.73
S,BULL,False,195.0,52.9,69,15.75,11.0,4.25,09,2020-07-01,2020,1.067,30.43
S,BEAR,True,-805.0,52.9,45,15.75,16.5,-1.25,11,2020-07-01,2020,1.067,30.43
S,BULL,False,232.5,52.9,31,15.75,10.25,5.0,12,2020-07-01,2020,1.067,30.43
L,BEAR,False,-42.5,52.17,61,15.75,15.0,-0.5,10,2020-07-02,2020,1.003,28.62
L,NEUTRAL,False,257.5,53.58,22,16.0,1.5,5.5,10,2020-07-03,2020,0.252,
L,BEAR,False,557.5,46.48,66,14.0,4.5,11.5,09,2020-07-06,2020,1.215,27.68
L,NEUTRAL,False,357.5,46.48,26,14.0,8.5,7.5,13,2020-07-06,2020,1.215,27.68
L,BULL,True,-667.5,43.67,41,13.0,34.5,-31.0,10,2020-07-07,2020,0.456,27.94
L,BULL,True,-667.5,43.67,30,13.0,36.25,-32.75,10,2020-07-07,2020,0.456,27.94
S,BULL,False,1282.5,43.67,30,13.0,1.5,26.0,12,2020-07-07,2020,0.456,27.94
S,NEUTRAL,False,-367.5,44.9,69,13.5,7.5,-7.0,09,2020-07-08,2020,0.227,29.43
S,BEAR,True,-692.5,44.9,37,13.5,22.0,-21.5,11,2020-07-08,2020,0.227,29.43
L,BEAR,False,-617.5,40.23,1,12.0,17.0,18.5,10,2020-07-09,2020,0.094,28.08
L,NEUTRAL,False,-105.0,40.23,18,12.0,11.25,-1.75,13,2020-07-09,2020,0.094,28.08
L,BULL,True,1482.5,39.9,60,12.0,1.5,30.0,10,2020-07-10,2020,0.019,29.26
S,BEAR,True,-592.5,38.12,4,11.5,30.75,45.0,09,2020-07-13,2020,0.536,27.29
S,NEUTRAL,False,-592.5,38.12,3,11.5,19.25,56.5,09,2020-07-13,2020,0.536,27.29
S,BULL,False,-630.0,40.67,9,12.25,40.5,-31.5,10,2020-07-14,2020,0.47,32.19
L,BEAR,False,-705.0,46.23,1,13.75,14.25,13.75,10,2020-07-15,2020,0.989,29.52
L,BULL,True,-330.0,47.15,67,14.25,10.25,-6.25,09,2020-07-16,2020,0.561,27.76
L,NEUTRAL,False,-92.5,47.15,58,14.25,5.5,-1.5,10,2020-07-16,2020,0.561,27.76
L,BULL,True,-317.5,47.15,27,14.25,10.0,-6.0,12,2020-07-16,2020,0.561,27.76
L,BULL,True,-392.5,47.15,18,14.25,11.5,-7.5,13,2020-07-16,2020,0.561,27.76
L,NEUTRAL,False,132.5,45.1,54,13.5,3.5,3.0,10,2020-07-17,2020,0.558,28.0
L,BEAR,False,-55.0,45.1,42,13.5,5.25,-0.75,11,2020-07-17,2020,0.558,28.0
S,NEUTRAL,False,-717.5,46.42,46,14.0,24.75,-20.5,10,2020-07-20,2020,0.025,25.68
S,NEUTRAL,False,607.5,49.0,72,14.75,3.5,12.5,09,2020-07-21,2020,0.429,24.46
S,BEAR,True,232.5,49.0,65,14.75,11.0,5.0,09,2020-07-21,2020,0.429,24.46
L,NEUTRAL,False,-755.0,49.0,47,14.75,25.5,-12.75,10,2020-07-21,2020,0.429,24.46
S,NEUTRAL,False,257.5,49.0,46,14.75,10.5,5.5,11,2020-07-21,2020,0.429,24.46
S,NEUTRAL,False,595.0,49.0,17,14.75,1.25,12.25,13,2020-07-21,2020,0.429,24.46
L,BEAR,False,432.5,47.77,38,14.25,10.25,9.0,12,2020-07-22,2020,0.153,24.84
S,BEAR,True,-730.0,47.77,15,14.25,18.0,-12.5,13,2020-07-22,2020,0.153,24.84
S,BULL,False,2032.5,46.7,66,14.0,3.5,41.0,09,2020-07-23,2020,0.049,24.32
S,NEUTRAL,False,1870.0,46.7,62,14.0,6.75,37.75,10,2020-07-23,2020,0.049,24.32
S,NEUTRAL,False,-255.0,46.7,18,14.0,10.75,-4.75,13,2020-07-23,2020,0.049,24.32
L,BULL,True,-705.0,45.98,14,13.75,22.25,-10.5,10,2020-07-24,2020,0.431,26.08
L,BULL,True,-667.5,43.45,11,13.0,16.25,5.0,09,2020-07-27,2020,0.316,25.84
S,BULL,False,-580.0,43.45,45,13.0,12.5,-11.25,11,2020-07-27,2020,0.316,25.84
S,NEUTRAL,False,-580.0,37.52,39,11.25,12.0,11.75,09,2020-07-28,2020,0.215,24.74
S,BULL,False,995.0,37.52,53,11.25,3.5,20.25,10,2020-07-28,2020,0.215,24.74
L,BULL,True,-580.0,37.52,13,11.25,25.5,-21.0,13,2020-07-28,2020,0.215,24.74
S,BULL,False,-517.5,33.02,37,10.0,20.75,-16.0,10,2020-07-29,2020,0.198,25.44
S,BULL,False,-517.5,32.95,6,10.0,41.75,-38.0,09,2020-07-30,2020,0.832,24.1
L,BEAR,False,-567.5,36.52,23,11.0,17.5,33.75,09,2020-07-31,2020,0.226,24.76
L,BULL,True,-55.0,39.1,70,11.75,10.75,-0.75,09,2020-08-03,2020,0.47,24.46
L,BULL,True,-30.0,39.1,45,11.75,5.75,-0.25,11,2020-08-03,2020,0.47,24.46
S,BULL,False,82.5,39.1,34,11.75,5.25,2.0,12,2020-08-03,2020,0.47,24.46
L,BULL,True,-80.0,39.1,26,11.75,6.75,-1.25,13,2020-08-03,2020,0.47,24.46
L,BULL,True,-567.5,36.48,38,11.0,15.25,5.25,10,2020-08-04,2020,0.249,24.28
S,BULL,False,220.0,35.8,66,10.75,3.25,4.75,09,2020-08-05,2020,0.363,23.76
L,BEAR,False,-192.5,35.8,17,10.75,7.5,-3.5,13,2020-08-05,2020,0.363,23.76
S,NEUTRAL,False,-392.5,32.02,74,9.5,9.0,-7.5,09,2020-08-07,2020,0.299,22.65
S,BEAR,True,-492.5,32.02,18,9.5,16.0,-14.5,13,2020-08-07,2020,0.299,22.65
S,BULL,False,-192.5,31.7,50,9.5,8.25,-3.5,11,2020-08-10,2020,0.114,22.21
L,NEUTRAL,False,45.0,31.7,19,9.5,4.0,1.25,13,2020-08-10,2020,0.114,22.21
L,BULL,True,-492.5,31.88,53,9.5,43.75,-33.75,09,2020-08-11,2020,0.376,22.13
S,BULL,False,-530.0,34.58,55,10.25,10.75,1.75,09,2020-08-12,2020,0.582,24.03
S,BULL,False,457.5,33.77,72,10.25,5.5,9.5,09,2020-08-13,2020,0.113,22.28
S,BEAR,True,257.5,33.77,23,10.25,0.75,5.5,13,2020-08-13,2020,0.113,22.28
S,NEUTRAL,False,-480.0,30.48,14,9.25,10.75,0.75,09,2020-08-14,2020,0.083,22.13
S,BULL,False,20.0,26.77,57,8.0,0.5,0.75,10,2020-08-17,2020,0.399,22.05
S,NEUTRAL,False,20.0,25.75,37,7.75,3.75,0.75,12,2020-08-18,2020,0.065,21.35
S,BULL,False,820.0,26.02,70,7.75,6.5,16.75,09,2020-08-19,2020,0.089,21.51
L,BEAR,False,-405.0,26.02,20,7.75,26.75,-19.75,11,2020-08-19,2020,0.089,21.51
L,BULL,True,645.0,27.85,61,8.25,1.0,13.25,10,2020-08-20,2020,0.469,22.54
S,BULL,False,-430.0,27.85,38,8.25,11.25,-5.25,10,2020-08-20,2020,0.469,22.54
L,BULL,True,320.0,27.93,63,8.5,7.75,6.75,09,2020-08-21,2020,0.059,22.72
L,NEUTRAL,False,357.5,27.93,40,8.5,2.5,7.5,11,2020-08-21,2020,0.059,22.72
L,BEAR,False,570.0,27.62,72,8.25,5.75,11.75,09,2020-08-24,2020,0.662,22.54
L,BEAR,False,832.5,26.8,69,8.0,4.0,17.0,09,2020-08-25,2020,0.182,22.37
S,BULL,False,-367.5,23.45,11,7.0,28.5,-27.75,10,2020-08-26,2020,0.094,22.03
L,NEUTRAL,False,-380.0,24.55,4,7.25,24.75,-4.5,11,2020-08-27,2020,0.098,23.27
S,BEAR,True,-380.0,24.55,5,7.25,15.25,-4.0,12,2020-08-27,2020,0.098,23.27
L,NEUTRAL,False,795.0,25.45,69,7.75,6.75,16.25,09,2020-08-28,2020,0.203,24.47
L,NEUTRAL,False,-417.5,26.3,15,8.0,10.75,-3.25,09,2020-08-31,2020,0.023,22.96
L,BULL,True,-417.5,26.3,34,8.0,13.5,-6.0,12,2020-08-31,2020,0.023,22.96
L,NEUTRAL,False,-417.5,26.3,18,8.0,14.25,-6.75,13,2020-08-31,2020,0.023,22.96
L,BULL,True,1007.5,27.73,61,8.25,3.25,20.5,10,2020-09-01,2020,0.092,26.41
L,NEUTRAL,False,1945.0,28.75,73,8.5,6.25,39.25,09,2020-09-02,2020,0.447,26.12
L,BEAR,False,-442.5,28.75,3,8.5,9.75,33.5,10,2020-09-02,2020,0.447,26.12
L,BEAR,False,-480.0,31.05,1,9.25,104.25,-69.25,09,2020-09-03,2020,0.481,26.57
S,BEAR,True,-480.0,31.05,2,9.25,15.0,-6.5,13,2020-09-03,2020,0.481,26.57
S,BEAR,True,-642.5,41.38,3,12.5,85.75,-50.75,10,2020-09-04,2020,0.017,33.6
L,BULL,True,-17.5,52.17,0,15.75,1.0,0.0,11,2020-09-07,2020,0.029,
S,BULL,False,1445.0,52.23,70,15.75,14.0,29.25,09,2020-09-08,2020,1.576,30.75
S,BULL,False,1470.0,52.23,36,15.75,10.5,29.75,12,2020-09-08,2020,1.576,30.75
L,BULL,True,245.0,55.25,66,16.5,7.75,5.25,09,2020-09-09,2020,0.929,31.46
L,BULL,True,-842.5,55.25,28,16.5,29.0,-17.0,12,2020-09-09,2020,0.929,31.46
S,NEUTRAL,False,3970.0,57.15,68,17.25,1.0,79.75,09,2020-09-10,2020,0.384,28.81
S,BEAR,True,3120.0,57.15,55,17.25,4.0,62.75,10,2020-09-10,2020,0.384,28.81
S,BEAR,True,2532.5,57.15,33,17.25,0.25,51.0,12,2020-09-10,2020,0.384,28.81
L,BEAR,False,-967.5,63.5,30,19.0,37.75,-11.5,09,2020-09-11,2020,0.395,29.71
L,BULL,True,-255.0,63.5,15,19.0,17.5,-4.75,13,2020-09-11,2020,0.395,29.71
L,BULL,True,-1017.5,66.88,52,20.0,20.75,-13.25,10,2020-09-14,2020,0.617,26.87
S,NEUTRAL,False,120.0,66.88,15,20.0,12.25,2.75,13,2020-09-14,2020,0.617,26.87
S,NEUTRAL,False,395.0,68.0,68,20.5,5.0,8.25,09,2020-09-15,2020,0.666,25.85
S,BEAR,True,320.0,68.0,66,20.5,6.5,6.75,09,2020-09-15,2020,0.666,25.85
S,BEAR,True,20.0,68.0,19,20.5,3.0,0.75,13,2020-09-15,2020,0.666,25.85
L,BULL,True,-1030.0,67.47,60,20.25,30.75,-25.5,09,2020-09-16,2020,0.219,25.59
L,BEAR,False,-1030.0,67.47,32,20.25,29.5,-24.25,11,2020-09-16,2020,0.219,25.59
L,NEUTRAL,False,-1017.5,66.72,21,20.0,26.5,6.75,09,2020-09-17,2020,1.318,26.04
L,BEAR,False,-1017.5,66.72,2,20.0,23.5,9.75,11,2020-09-17,2020,1.318,26.04
S,BEAR,True,-880.0,57.58,14,17.25,18.5,-18.25,13,2020-09-18,2020,0.096,26.46
L,BULL,True,-855.0,56.1,5,16.75,26.0,14.5,09,2020-09-22,2020,0.274,27.78
L,BEAR,False,-855.0,55.98,19,16.75,75.0,-64.25,09,2020-09-23,2020,0.242,26.86
L,BEAR,False,-855.0,55.98,4,16.75,29.75,-19.0,13,2020-09-23,2020,0.242,26.86
S,BULL,False,-905.0,59.23,6,17.75,37.25,-7.0,10,2020-09-24,2020,0.48,28.58
L,BULL,True,2045.0,56.55,51,17.0,3.5,41.25,10,2020-09-25,2020,0.301,28.51
L,BULL,True,532.5,56.55,16,17.0,0.25,11.0,13,2020-09-25,2020,0.301,28.51
S,BULL,False,-267.5,58.6,68,17.5,9.25,-5.0,09,2020-09-28,2020,1.104,26.38
S,BULL,False,595.0,58.08,70,17.5,2.0,12.25,09,2020-09-29,2020,0.138,26.19
S,NEUTRAL,False,-467.5,58.08,41,17.5,14.5,-9.0,11,2020-09-29,2020,0.138,26.19
S,BULL,False,-155.0,58.08,23,17.5,8.25,-2.75,13,2020-09-29,2020,0.138,26.19
L,BULL,True,-892.5,58.2,20,17.5,41.5,-31.75,12,2020-09-30,2020,0.054,26.27
S,NEUTRAL,False,-30.0,59.1,16,17.75,7.75,-0.25,13,2020-10-01,2020,0.917,26.37
L,BULL,True,-892.5,58.1,14,17.5,20.75,-0.75,09,2020-10-02,2020,1.208,26.7
L,NEUTRAL,False,-892.5,58.1,11,17.5,20.25,-16.0,11,2020-10-02,2020,1.208,26.7
L,BULL,True,395.0,55.25,61,16.5,9.25,8.25,10,2020-10-05,2020,0.503,27.63
L,NEUTRAL,False,482.5,55.25,50,16.5,7.5,10.0,11,2020-10-05,2020,0.503,27.63
S,BEAR,True,-817.5,53.33,48,16.0,19.75,49.75,09,2020-10-06,2020,0.148,27.96
S,BEAR,True,-817.5,53.33,21,16.0,25.25,44.25,11,2020-10-06,2020,0.148,27.96
L,NEUTRAL,False,807.5,56.05,67,16.75,5.25,16.5,09,2020-10-07,2020,0.693,29.48
L,BULL,True,545.0,56.05,60,16.75,10.5,11.25,10,2020-10-07,2020,0.693,29.48
L,NEUTRAL,False,595.0,56.05,56,16.75,9.5,12.25,10,2020-10-07,2020,0.693,29.48
S,NEUTRAL,False,-855.0,56.05,18,16.75,23.25,-13.5,11,2020-10-07,2020,0.693,29.48
L,NEUTRAL,False,432.5,50.48,62,15.25,9.75,9.0,10,2020-10-08,2020,0.507,28.06
S,BULL,False,-305.0,50.48,47,15.25,7.0,-5.75,11,2020-10-08,2020,0.507,28.06
L,BULL,True,157.5,45.45,42,13.75,10.25,3.5,11,2020-10-09,2020,0.439,26.36
S,BULL,False,-117.5,39.88,35,12.0,8.75,-2.0,12,2020-10-12,2020,0.54,25.0
S,NEUTRAL,False,232.5,41.95,65,12.5,9.5,5.0,09,2020-10-13,2020,0.246,25.07
L,BEAR,False,-642.5,41.95,21,12.5,22.0,-8.25,11,2020-10-13,2020,0.246,25.07
S,BEAR,True,432.5,41.95,35,12.5,2.5,9.0,12,2020-10-13,2020,0.246,25.07
L,NEUTRAL,False,-642.5,41.95,3,12.5,19.25,-5.5,12,2020-10-13,2020,0.246,25.07
S,NEUTRAL,False,1482.5,42.1,65,12.75,0.25,30.0,09,2020-10-14,2020,0.063,26.07
S,BEAR,True,1320.0,42.1,61,12.75,3.0,26.75,10,2020-10-14,2020,0.063,26.07
S,BEAR,True,145.0,42.1,36,12.75,10.25,3.25,12,2020-10-14,2020,0.063,26.07
L,BULL,True,807.5,41.45,52,12.5,10.75,16.5,10,2020-10-15,2020,1.003,26.4
L,BULL,True,320.0,41.45,19,12.5,5.5,6.75,13,2020-10-15,2020,1.003,26.4
S,BULL,False,1582.5,42.65,29,12.75,5.75,32.0,12,2020-10-16,2020,0.337,26.97
S,BEAR,True,2357.5,42.58,59,12.75,3.75,47.5,10,2020-10-19,2020,0.582,27.41
S,BEAR,True,1857.5,42.58,49,12.75,5.5,37.5,11,2020-10-19,2020,0.582,27.41
S,NEUTRAL,False,-717.5,46.92,21,14.0,27.25,11.25,09,2020-10-20,2020,0.276,29.18
S,BULL,False,-717.5,46.92,12,14.0,32.75,5.75,10,2020-10-20,2020,0.276,29.18
S,NEUTRAL,False,1295.0,46.92,19,14.0,2.5,26.25,13,2020-10-20,2020,0.276,29.18
L,BEAR,False,1820.0,43.12,64,13.0,4.5,36.75,09,2020-10-22,2020,0.082,28.65
L,BULL,True,132.5,43.12,16,13.0,5.75,3.0,13,2020-10-22,2020,0.082,28.65
L,BEAR,False,-705.0,45.75,23,13.75,18.0,1.75,09,2020-10-23,2020,0.274,28.11
S,BULL,False,1532.5,46.2,72,13.75,3.0,31.0,09,2020-10-26,2020,0.689,27.55
S,NEUTRAL,False,-467.5,46.2,50,13.75,12.0,-9.0,11,2020-10-26,2020,0.689,27.55
S,BULL,False,-705.0,46.2,13,13.75,17.5,-14.5,13,2020-10-26,2020,0.689,27.55
S,BULL,False,482.5,48.62,62,14.5,11.25,10.0,10,2020-10-27,2020,0.041,32.46
L,BEAR,False,-730.0,47.83,4,14.25,30.5,-21.75,09,2020-10-28,2020,1.406,33.35
S,BULL,False,-767.5,49.75,37,15.0,40.25,0.0,09,2020-10-29,2020,0.018,40.28
L,BULL,True,-67.5,49.75,40,15.0,9.5,-1.0,11,2020-10-29,2020,0.018,40.28
L,BEAR,False,1570.0,53.15,28,16.0,15.0,31.75,12,2020-10-30,2020,0.291,37.59
L,BEAR,False,1782.5,53.15,19,16.0,10.75,36.0,13,2020-10-30,2020,0.291,37.59
S,BULL,False,870.0,55.55,69,16.75,3.5,17.75,09,2020-11-02,2020,0.737,38.02
L,BEAR,False,-855.0,55.55,8,16.75,33.25,-6.0,11,2020-11-02,2020,0.737,38.02
S,BEAR,True,-855.0,55.55,12,16.75,25.0,-18.0,12,2020-11-02,2020,0.737,38.02
L,BULL,True,-805.0,52.4,16,15.75,31.5,-28.0,10,2020-11-03,2020,0.914,37.13
S,NEUTRAL,False,-805.0,52.4,29,15.75,18.0,13.25,12,2020-11-03,2020,0.914,37.13
S,NEUTRAL,False,-805.0,52.4,13,15.75,24.75,6.5,13,2020-11-03,2020,0.914,37.13
L,NEUTRAL,False,-817.5,53.23,55,16.0,18.5,-13.5,10,2020-11-04,2020,1.411,35.55
L,BULL,True,-817.5,53.23,7,16.0,45.25,-40.25,11,2020-11-04,2020,1.411,35.55
S,NEUTRAL,False,1032.5,53.23,25,16.0,6.5,21.0,13,2020-11-04,2020,1.411,35.55
S,NEUTRAL,False,-880.0,57.12,53,17.25,18.25,-8.5,10,2020-11-06,2020,0.293,27.58
L,NEUTRAL,False,32.5,57.12,26,17.25,12.75,1.0,13,2020-11-06,2020,0.293,27.58
S,BEAR,True,-892.5,58.15,18,17.5,17.75,53.75,10,2020-11-09,2020,3.1,24.86
L,BEAR,False,-892.5,58.15,7,17.5,73.0,-63.0,12,2020-11-09,2020,3.1,24.86
S,BEAR,True,-617.5,61.15,22,18.25,15.0,-12.0,13,2020-11-10,2020,0.365,25.75
L,NEUTRAL,False,832.5,63.23,69,19.0,5.0,17.0,09,2020-11-11,2020,0.422,24.8
L,BULL,True,-967.5,63.23,23,19.0,19.5,2.5,11,2020-11-11,2020,0.422,24.8
S,BULL,False,1095.0,59.02,64,17.75,4.25,22.25,09,2020-11-12,2020,0.369,23.45
S,NEUTRAL,False,-855.0,55.9,40,16.75,33.5,-24.75,10,2020-11-13,2020,0.337,25.35
S,BULL,False,-855.0,55.9,32,16.75,23.5,-14.75,11,2020-11-13,2020,0.337,25.35
L,NEUTRAL,False,1107.5,53.02,70,16.0,9.5,22.5,09,2020-11-16,2020,0.674,23.1
L,BULL,True,-817.5,53.02,15,16.0,20.25,11.75,11,2020-11-16,2020,0.674,23.1
L,BULL,True,-155.0,51.15,39,15.25,14.5,-2.75,11,2020-11-17,2020,0.639,22.45
L,BULL,True,-780.0,51.15,5,15.25,17.75,-6.0,13,2020-11-17,2020,0.639,22.45
L,BULL,True,-767.5,49.62,44,15.0,49.0,-46.75,09,2020-11-18,2020,0.006,22.71
L,BEAR,False,945.0,46.88,53,14.0,3.5,19.25,10,2020-11-19,2020,0.114,23.84
S,BULL,False,1307.5,47.55,42,14.25,4.75,26.5,11,2020-11-20,2020,0.011,23.11
L,BULL,True,-730.0,47.55,15,14.25,28.25,-27.5,13,2020-11-20,2020,0.011,23.11
S,BULL,False,-205.0,47.1,62,14.25,12.25,-3.75,10,2020-11-23,2020,0.674,23.7
S,NEUTRAL,False,-730.0,47.1,34,14.25,28.0,-19.5,11,2020-11-23,2020,0.674,23.7
L,BULL,True,445.0,47.1,30,14.25,4.25,9.25,12,2020-11-23,2020,0.674,23.7
L,NEUTRAL,False,545.0,47.1,23,14.25,2.25,11.25,13,2020-11-23,2020,0.674,23.7
L,BULL,True,182.5,40.62,41,12.25,6.0,4.0,11,2020-11-24,2020,0.601,22.66
L,NEUTRAL,False,320.0,40.58,68,12.25,5.25,6.75,09,2020-11-25,2020,0.039,21.64
S,BEAR,True,-255.0,40.58,44,12.25,8.25,-4.75,11,2020-11-25,2020,0.039,21.64
L,BULL,True,207.5,40.58,25,12.25,4.5,4.5,13,2020-11-25,2020,0.039,21.64
S,BULL,False,132.5,36.23,34,10.75,2.75,3.0,09,2020-11-27,2020,0.472,21.25
L,BULL,True,-180.0,34.38,63,10.25,7.25,-3.25,09,2020-12-01,2020,0.616,20.57
S,NEUTRAL,False,-517.5,33.5,17,10.0,20.0,-17.5,09,2020-12-02,2020,0.239,20.77
L,BULL,True,-480.0,30.88,35,9.25,22.5,-7.25,09,2020-12-03,2020,0.072,21.17
