rule,book,story,days_skipped,train_delta,test_delta,total_delta,killer_days_avoided,winning_days_lost,avoids_2025_04_09,baseline_train,baseline_test,verdict
prior_range>=2.0,ic,wide prior-day range = realized vol already exceeding EM pricing,106,-6971.0,9586.0,2615.0,4,65,True,-21720.0,-3203.0,DEAD
prior_range>=2.0,fly,wide prior-day range = realized vol already exceeding EM pricing,106,24229.0,16669.0,40898.0,7,30,True,-125857.0,-74691.0,ROBUST
prior_range>=2.0,puts_band,wide prior-day range = realized vol already exceeding EM pricing,106,-8598.0,-836.0,-9434.0,1,69,True,11781.0,3146.0,DEAD
prior_range>=2.0,combined,wide prior-day range = realized vol already exceeding EM pricing,106,8660.0,25419.0,34079.0,13,43,True,-135796.0,-74748.0,ROBUST
prior_range>=3.0,ic,wide prior-day range = realized vol already exceeding EM pricing,20,-603.0,4060.0,3457.0,1,10,True,-21720.0,-3203.0,DEAD
prior_range>=3.0,fly,wide prior-day range = realized vol already exceeding EM pricing,20,3302.0,6600.0,9902.0,3,5,True,-125857.0,-74691.0,ROBUST
prior_range>=3.0,puts_band,wide prior-day range = realized vol already exceeding EM pricing,20,-295.0,843.0,548.0,0,11,True,11781.0,3146.0,DEAD
prior_range>=3.0,combined,wide prior-day range = realized vol already exceeding EM pricing,20,2404.0,11503.0,13907.0,5,8,True,-135796.0,-74748.0,ROBUST
prior_range>=4.0,ic,wide prior-day range = realized vol already exceeding EM pricing,6,1215.0,3844.0,5059.0,1,2,True,-21720.0,-3203.0,ROBUST
prior_range>=4.0,fly,wide prior-day range = realized vol already exceeding EM pricing,6,513.0,8804.0,9317.0,3,0,True,-125857.0,-74691.0,ROBUST
prior_range>=4.0,puts_band,wide prior-day range = realized vol already exceeding EM pricing,6,887.0,1330.0,2217.0,0,1,True,11781.0,3146.0,ROBUST
prior_range>=4.0,combined,wide prior-day range = realized vol already exceeding EM pricing,6,2615.0,13978.0,16593.0,4,1,True,-135796.0,-74748.0,ROBUST
prior_range>=5.0,ic,wide prior-day range = realized vol already exceeding EM pricing,4,1215.0,5535.0,6750.0,1,0,True,-21720.0,-3203.0,ROBUST
prior_range>=5.0,fly,wide prior-day range = realized vol already exceeding EM pricing,4,513.0,5065.0,5578.0,2,0,True,-125857.0,-74691.0,ROBUST
prior_range>=5.0,puts_band,wide prior-day range = realized vol already exceeding EM pricing,4,887.0,1330.0,2217.0,0,1,True,11781.0,3146.0,ROBUST
prior_range>=5.0,combined,wide prior-day range = realized vol already exceeding EM pricing,4,2615.0,11930.0,14545.0,3,0,True,-135796.0,-74748.0,ROBUST
|cum2day|>=2.0,ic,"2-day trend move = market in motion, mean-reversion premium bets lose",148,-12033.0,4075.0,-7958.0,9,111,False,-21720.0,-3203.0,DEAD
|cum2day|>=2.0,fly,"2-day trend move = market in motion, mean-reversion premium bets lose",148,35717.0,20652.0,56369.0,6,45,False,-125857.0,-74691.0,ROBUST
|cum2day|>=2.0,puts_band,"2-day trend move = market in motion, mean-reversion premium bets lose",148,-6145.0,-1780.0,-7925.0,1,84,False,11781.0,3146.0,DEAD
|cum2day|>=2.0,combined,"2-day trend move = market in motion, mean-reversion premium bets lose",148,17539.0,22947.0,40486.0,12,61,False,-135796.0,-74748.0,ROBUST
|cum2day|>=3.0,ic,"2-day trend move = market in motion, mean-reversion premium bets lose",49,-1041.0,-952.0,-1993.0,3,35,False,-21720.0,-3203.0,DEAD
|cum2day|>=3.0,fly,"2-day trend move = market in motion, mean-reversion premium bets lose",49,11276.0,11728.0,23004.0,4,15,False,-125857.0,-74691.0,ROBUST
|cum2day|>=3.0,puts_band,"2-day trend move = market in motion, mean-reversion premium bets lose",49,-1550.0,343.0,-1207.0,1,32,False,11781.0,3146.0,DEAD
|cum2day|>=3.0,combined,"2-day trend move = market in motion, mean-reversion premium bets lose",49,8685.0,11119.0,19804.0,6,17,False,-135796.0,-74748.0,ROBUST
|cum2day|>=4.0,ic,"2-day trend move = market in motion, mean-reversion premium bets lose",16,-405.0,3024.0,2619.0,1,8,False,-21720.0,-3203.0,DEAD
|cum2day|>=4.0,fly,"2-day trend move = market in motion, mean-reversion premium bets lose",16,3836.0,5188.0,9024.0,2,6,False,-125857.0,-74691.0,ROBUST
|cum2day|>=4.0,puts_band,"2-day trend move = market in motion, mean-reversion premium bets lose",16,1872.0,1259.0,3131.0,1,6,False,11781.0,3146.0,ROBUST
|cum2day|>=4.0,combined,"2-day trend move = market in motion, mean-reversion premium bets lose",16,5303.0,9471.0,14774.0,4,5,False,-135796.0,-74748.0,ROBUST
|gap|>=0.5&vixchg>0,ic,"gap with rising VIX = fear-confirmed gap, not a fade",123,9444.0,-8011.0,1433.0,4,67,False,-21720.0,-3203.0,TRAIN_ONLY
|gap|>=0.5&vixchg>0,fly,"gap with rising VIX = fear-confirmed gap, not a fade",123,15584.0,26642.0,42226.0,9,43,False,-125857.0,-74691.0,ROBUST
|gap|>=0.5&vixchg>0,puts_band,"gap with rising VIX = fear-confirmed gap, not a fade",123,-869.0,-1434.0,-2303.0,0,58,False,11781.0,3146.0,DEAD
|gap|>=0.5&vixchg>0,combined,"gap with rising VIX = fear-confirmed gap, not a fade",123,24159.0,17197.0,41356.0,12,40,False,-135796.0,-74748.0,ROBUST
|gap|>=0.5&vixchg>=2,ic,gap with VIX spike = vol regime shift overnight,29,1892.0,314.0,2206.0,2,14,False,-21720.0,-3203.0,ROBUST
|gap|>=0.5&vixchg>=2,fly,gap with VIX spike = vol regime shift overnight,29,6716.0,10432.0,17148.0,4,8,False,-125857.0,-74691.0,ROBUST
|gap|>=0.5&vixchg>=2,puts_band,gap with VIX spike = vol regime shift overnight,29,417.0,-1092.0,-675.0,0,13,False,11781.0,3146.0,TRAIN_ONLY
|gap|>=0.5&vixchg>=2,combined,gap with VIX spike = vol regime shift overnight,29,9025.0,9654.0,18679.0,4,6,False,-135796.0,-74748.0,ROBUST
gap<=-0.5&vixchg>=2,ic,down-gap with VIX spike = crash continuation risk,14,948.0,-79.0,869.0,1,7,False,-21720.0,-3203.0,TRAIN_ONLY
gap<=-0.5&vixchg>=2,fly,down-gap with VIX spike = crash continuation risk,14,4241.0,9250.0,13491.0,3,3,False,-125857.0,-74691.0,ROBUST
gap<=-0.5&vixchg>=2,puts_band,down-gap with VIX spike = crash continuation risk,14,-391.0,-573.0,-964.0,0,7,False,11781.0,3146.0,DEAD
gap<=-0.5&vixchg>=2,combined,down-gap with VIX spike = crash continuation risk,14,4798.0,8598.0,13396.0,3,2,False,-135796.0,-74748.0,ROBUST
prior_range>=3&|gap|>=0.3,ic,wide prior range AND gapping again = vol not settling,15,788.0,4901.0,5689.0,1,6,True,-21720.0,-3203.0,ROBUST
prior_range>=3&|gap|>=0.3,fly,wide prior range AND gapping again = vol not settling,15,2193.0,5261.0,7454.0,3,5,True,-125857.0,-74691.0,ROBUST
prior_range>=3&|gap|>=0.3,puts_band,wide prior range AND gapping again = vol not settling,15,223.0,1106.0,1329.0,0,7,True,11781.0,3146.0,ROBUST
prior_range>=3&|gap|>=0.3,combined,wide prior range AND gapping again = vol not settling,15,3204.0,11268.0,14472.0,5,5,True,-135796.0,-74748.0,ROBUST
prior_range>=4&vixchg>=0,ic,huge prior range with VIX not falling = still in the storm,4,-0.0,2924.0,2924.0,1,2,True,-21720.0,-3203.0,DEAD
prior_range>=4&vixchg>=0,fly,huge prior range with VIX not falling = still in the storm,4,-0.0,8361.0,8361.0,3,0,True,-125857.0,-74691.0,DEAD
prior_range>=4&vixchg>=0,puts_band,huge prior range with VIX not falling = still in the storm,4,-0.0,1330.0,1330.0,0,1,True,11781.0,3146.0,DEAD
prior_range>=4&vixchg>=0,combined,huge prior range with VIX not falling = still in the storm,4,-0.0,12615.0,12615.0,3,1,True,-135796.0,-74748.0,DEAD
