rule,book,economic_story,n_skipped_train,n_skipped_test,train_delta,test_delta,train_excess_vs_random,test_excess_vs_random,killer_days_avoided,winning_days_lost,verdict
skip_vixchg>3,puts_band,Fresh vol shock: skip the day after VIX rose > 3 pts,13,17,-1364.0,-1384.0,-1132.0,-1256.0,0,18,DEAD
skip_vixchg>3,combined,Fresh vol shock: skip the day after VIX rose > 3 pts,13,17,5842.0,15194.0,3171.0,12161.0,5,7,ROBUST
skip_vixchg>5,ic,Severe vol shock: skip the day after VIX rose > 5 pts,4,7,-1573.0,1946.0,-1704.0,1892.0,1,8,DEAD
skip_vixchg>5,fly,Severe vol shock: skip the day after VIX rose > 5 pts,4,7,-446.0,9602.0,-1208.0,8354.0,3,3,DEAD
skip_vixchg>5,puts_band,Severe vol shock: skip the day after VIX rose > 5 pts,4,7,-515.0,-396.0,-444.0,-343.0,0,7,DEAD
skip_vixchg>5,combined,Severe vol shock: skip the day after VIX rose > 5 pts,4,7,-2534.0,11152.0,-3356.0,9903.0,3,4,DEAD
skip_accel2d>3,ic,Building vol trend: skip when VIX rose > 3 pts over prior 2 days,28,26,2078.0,8631.0,1158.0,8432.0,8,34,ROBUST
skip_accel2d>3,fly,Building vol trend: skip when VIX rose > 3 pts over prior 2 days,28,26,15238.0,20609.0,9907.0,15974.0,8,12,ROBUST
skip_accel2d>3,puts_band,Building vol trend: skip when VIX rose > 3 pts over prior 2 days,28,26,62.0,-1220.0,561.0,-1025.0,1,34,TRAIN_ONLY
skip_accel2d>3,combined,Building vol trend: skip when VIX rose > 3 pts over prior 2 days,28,26,17378.0,28020.0,11626.0,23382.0,13,14,ROBUST
skip_accel2d>5,ic,Building vol trend: skip when VIX rose > 5 pts over prior 2 days,8,8,1023.0,4426.0,760.0,4365.0,3,10,ROBUST
skip_accel2d>5,fly,Building vol trend: skip when VIX rose > 5 pts over prior 2 days,8,8,2329.0,11878.0,806.0,10452.0,5,4,ROBUST
skip_accel2d>5,puts_band,Building vol trend: skip when VIX rose > 5 pts over prior 2 days,8,8,-871.0,1019.0,-728.0,1079.0,0,11,DEAD
skip_accel2d>5,combined,Building vol trend: skip when VIX rose > 5 pts over prior 2 days,8,8,2481.0,17323.0,837.0,15896.0,6,4,ROBUST
skip_2day_both_up1,ic,Accelerating vol: skip when VIX rose > 1 pt on BOTH prior days,22,11,-5349.0,5198.0,-6072.0,5114.0,3,26,DEAD
skip_2day_both_up1,fly,Accelerating vol: skip when VIX rose > 1 pt on BOTH prior days,22,11,12122.0,12810.0,7933.0,10849.0,6,8,ROBUST
skip_2day_both_up1,puts_band,Accelerating vol: skip when VIX rose > 1 pt on BOTH prior days,22,11,-2886.0,941.0,-2494.0,1024.0,0,24,DEAD
skip_2day_both_up1,combined,Accelerating vol: skip when VIX rose > 1 pt on BOTH prior days,22,11,3887.0,18949.0,-633.0,16987.0,7,9,ROBUST
skip_vix/5dma>1.10,ic,Vol above its recent norm: skip when prior VIX > 1.10x its 5-day mean,45,38,2647.0,2004.0,1168.0,1714.0,8,59,ROBUST
skip_vix/5dma>1.10,fly,Vol above its recent norm: skip when prior VIX > 1.10x its 5-day mean,45,38,17257.0,27193.0,8689.0,20419.0,8,19,ROBUST
skip_vix/5dma>1.10,puts_band,Vol above its recent norm: skip when prior VIX > 1.10x its 5-day mean,45,38,-3257.0,-2069.0,-2455.0,-1784.0,0,53,DEAD
skip_vix/5dma>1.10,combined,Vol above its recent norm: skip when prior VIX > 1.10x its 5-day mean,45,38,16647.0,27128.0,7402.0,20349.0,11,28,ROBUST
skip_vix/5dma>1.20,ic,Vol sharply above norm: skip when prior VIX > 1.20x its 5-day mean,7,8,2420.0,5124.0,2190.0,5063.0,3,8,ROBUST
skip_vix/5dma>1.20,fly,Vol sharply above norm: skip when prior VIX > 1.20x its 5-day mean,7,8,23.0,10860.0,-1310.0,9434.0,4,4,ROBUST
skip_vix/5dma>1.20,puts_band,Vol sharply above norm: skip when prior VIX > 1.20x its 5-day mean,7,8,-729.0,1081.0,-604.0,1141.0,0,9,DEAD
skip_vix/5dma>1.20,combined,Vol sharply above norm: skip when prior VIX > 1.20x its 5-day mean,7,8,1714.0,17065.0,276.0,15638.0,6,4,ROBUST
skip_vix/10dma>1.15,ic,Vol above its 2-week norm: skip when prior VIX > 1.15x its 10-day mean,40,38,1942.0,8872.0,628.0,8582.0,11,50,ROBUST
skip_vix/10dma>1.15,fly,Vol above its 2-week norm: skip when prior VIX > 1.15x its 10-day mean,40,38,10792.0,24029.0,3176.0,17255.0,9,21,ROBUST
skip_vix/10dma>1.15,puts_band,Vol above its 2-week norm: skip when prior VIX > 1.15x its 10-day mean,40,38,-1791.0,-1832.0,-1078.0,-1547.0,0,49,DEAD
skip_vix/10dma>1.15,combined,Vol above its 2-week norm: skip when prior VIX > 1.15x its 10-day mean,40,38,10943.0,31069.0,2725.0,24290.0,12,27,ROBUST
skip_vix/10dma>1.25,ic,Vol sharply above 2-week norm: skip when prior VIX > 1.25x its 10-day mean,11,13,2083.0,8166.0,1722.0,8067.0,4,13,ROBUST
skip_vix/10dma>1.25,fly,Vol sharply above 2-week norm: skip when prior VIX > 1.25x its 10-day mean,11,13,2078.0,11665.0,-16.0,9348.0,4,6,ROBUST
skip_vix/10dma>1.25,puts_band,Vol sharply above 2-week norm: skip when prior VIX > 1.25x its 10-day mean,11,13,-858.0,153.0,-662.0,251.0,0,16,DEAD
skip_vix/10dma>1.25,combined,Vol sharply above 2-week norm: skip when prior VIX > 1.25x its 10-day mean,11,13,3303.0,19984.0,1043.0,17665.0,7,6,ROBUST
skip_event&vixchg>2,ic,Macro event landing on a fresh vol shock: skip event days after VIX rose > 2 pts,6,6,4438.0,-982.0,4241.0,-1028.0,1,5,TRAIN_ONLY
skip_event&vixchg>2,fly,Macro event landing on a fresh vol shock: skip event days after VIX rose > 2 pts,6,6,622.0,2281.0,-520.0,1211.0,1,5,ROBUST
skip_event&vixchg>2,puts_band,Macro event landing on a fresh vol shock: skip event days after VIX rose > 2 pts,6,6,880.0,-922.0,987.0,-877.0,0,6,TRAIN_ONLY
skip_event&vixchg>2,combined,Macro event landing on a fresh vol shock: skip event days after VIX rose > 2 pts,6,6,5940.0,377.0,4707.0,-693.0,1,3,ROBUST
skip_event&vix>25,ic,Macro event in a high-vol regime: skip event days when prior VIX > 25,12,3,3767.0,953.0,3373.0,930.0,1,6,ROBUST
skip_event&vix>25,fly,Macro event in a high-vol regime: skip event days when prior VIX > 25,12,3,9851.0,1669.0,7566.0,1134.0,3,3,ROBUST
skip_event&vix>25,puts_band,Macro event in a high-vol regime: skip event days when prior VIX > 25,12,3,-477.0,-62.0,-263.0,-39.0,0,7,DEAD
skip_event&vix>25,combined,Macro event in a high-vol regime: skip event days when prior VIX > 25,12,3,13141.0,2560.0,10676.0,2025.0,4,2,ROBUST
skip_event&vix/5dma>1.10,ic,Macro event with vol above norm: skip event days when VIX > 1.10x 5-day mean,8,4,6498.0,-791.0,6235.0,-822.0,2,6,TRAIN_ONLY
skip_event&vix/5dma>1.10,fly,Macro event with vol above norm: skip event days when VIX > 1.10x 5-day mean,8,4,2944.0,2563.0,1421.0,1850.0,1,4,ROBUST
skip_event&vix/5dma>1.10,puts_band,Macro event with vol above norm: skip event days when VIX > 1.10x 5-day mean,8,4,743.0,-582.0,886.0,-552.0,0,7,TRAIN_ONLY
skip_event&vix/5dma>1.10,combined,Macro event with vol above norm: skip event days when VIX > 1.10x 5-day mean,8,4,10185.0,1190.0,8541.0,476.0,2,4,ROBUST
