family,rule,inputs,knowable_when,verdict,lookahead,infra_needed
credit_day_skip,skip_day_if_cr_p>4.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_total_cr<1.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_total_cr>3.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_total_cr>4.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_total_cr>5.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_total_cr>6.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_leg_drop,ic_drop_call_leg_if_cr_c>2.0,own call-spread credit (quote at fire),08:30 entry,CONFIRMED,NONE,trivial: add threshold check in existing gate() for the eodic_c trigger only - per-trigger quote already exists.
credit_leg_drop,ic_drop_call_leg_if_cr_c>2.5,own call-spread credit (quote at fire),08:30 entry,CONFIRMED,NONE,trivial: add threshold check in existing gate() for the eodic_c trigger only - per-trigger quote already exists.
credit_leg_drop,ic_drop_call_leg_if_cr_c>3.0,own call-spread credit (quote at fire),08:30 entry,CONFIRMED,NONE,trivial: add threshold check in existing gate() for the eodic_c trigger only - per-trigger quote already exists.
gap_prior_day,gap<=-0.5,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,gap<=-0.5&vixchg>=2,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,gap<=-1.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,prior_range>=2.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,prior_range>=3&|gap|>=0.3,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,prior_range>=4.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,prior_ret<=-1.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,prior_ret<=-1.5,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|cum2day|>=2.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|cum2day|>=3.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|gap|>=0.3,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|gap|>=0.5,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|gap|>=0.5&vixchg>=2,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|gap|>=0.75,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|gap|>=1.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|prior_ret|>=1.0,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
gap_prior_day,|prior_ret|>=1.5,SPX open vs prior close; prior-day OHLC; prior VIX chg,prior-day stats premarket; gap at 08:30 fire (daemon has live spot),CONFIRMED,NONE,daemon needs gap computation at fire: live spot vs stored prior SPX close (neither is wired today). Minor basis: official SPX open print vs feed spot at 08:30:00 can differ slightly.
vix_state,skip_2day_both_up1,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_accel2d>3,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_accel2d>5,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vix/10dma>1.15,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vix/10dma>1.25,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vix/5dma>1.10,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vix/5dma>1.20,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vix>25,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vix>30,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vixchg>2,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,skip_vixchg>3,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,vixprior>25_standdown,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
vix_state,vixprior>30_standdown,"prior VIX closes only (close, chg, 2d accel, 5/10dma ratios)",premarket (gameplan already reads data/vix_daily.csv for EM),CONFIRMED,NONE,gameplan feature block: derive chg/accel2/5dma/10dma from vix_daily.csv and stamp skip flags into the plan - no new data source. Dependency: vix_daily.csv must be current each morning (already the EM input).
event_calendar,skip_ANY_EVENT,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_CPI,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_FOMC,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_NFP,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_callside_CPI,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_event&vix/5dma>1.10,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_event&vix>25,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_event&vixchg>2,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_flies_ANY_EVENT,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_flies_CPI,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_flies_FOMC,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_calendar,skip_flies_NFP,econ calendar (data/econ_calendar_2022_2026.csv) + prior VIX closes,premarket (calendar known days/weeks ahead),CONFIRMED,NONE,"gameplan reads the calendar file (today event info comes via gexlog brief, advisory event_gate); component skips = simply do not arm those triggers. Maintenance: calendar file ends 2026 - needs yearly refresh."
event_x_credit,skip_event_if_credit_above_2,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_above_3,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_above_4,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_above_5,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_above_6,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_below_2,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_below_4,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_below_5,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
event_x_credit,skip_event_if_credit_below_6,econ calendar premarket + total condor credit at entry,08:30 entry,CONFIRMED,NONE,"same both-sides pre-fire quote stage as credit_day_skip. Sim detail: cr_total_fill uses fillna(0), so a day with NO condor fill counts as 'below' - live equivalent (quote failure) is no-trade anyway; define explicitly when building."
loss_standdown,cluster_2x_loss<-500,PRIOR days' realized book P&L (trade log / daily_summary),premarket (yesterday's P&L is settled by evening),CONFIRMED,NONE,"gameplan needs: read prior-day realized P&L per book + persist a cooldown state file across days (none exists). Calibration caveat: thresholds were fit on backtest P&L basis (sim fills+fees), live basis differs - map before arming. Book defs must match (ic=vix252 4 streams; puts_band= put legs with own credit 0.5-2.5, computable at entry)."
loss_standdown,loss<-1000_stand2d,PRIOR days' realized book P&L (trade log / daily_summary),premarket (yesterday's P&L is settled by evening),CONFIRMED,NONE,"gameplan needs: read prior-day realized P&L per book + persist a cooldown state file across days (none exists). Calibration caveat: thresholds were fit on backtest P&L basis (sim fills+fees), live basis differs - map before arming. Book defs must match (ic=vix252 4 streams; puts_band= put legs with own credit 0.5-2.5, computable at entry)."
loss_standdown,loss<-1500_stand2d,PRIOR days' realized book P&L (trade log / daily_summary),premarket (yesterday's P&L is settled by evening),CONFIRMED,NONE,"gameplan needs: read prior-day realized P&L per book + persist a cooldown state file across days (none exists). Calibration caveat: thresholds were fit on backtest P&L basis (sim fills+fees), live basis differs - map before arming. Book defs must match (ic=vix252 4 streams; puts_band= put legs with own credit 0.5-2.5, computable at entry)."
loss_standdown,loss<-2000_stand1d,PRIOR days' realized book P&L (trade log / daily_summary),premarket (yesterday's P&L is settled by evening),CONFIRMED,NONE,"gameplan needs: read prior-day realized P&L per book + persist a cooldown state file across days (none exists). Calibration caveat: thresholds were fit on backtest P&L basis (sim fills+fees), live basis differs - map before arming. Book defs must match (ic=vix252 4 streams; puts_band= put legs with own credit 0.5-2.5, computable at entry)."
loss_standdown,loss<-2000_stand2d,PRIOR days' realized book P&L (trade log / daily_summary),premarket (yesterday's P&L is settled by evening),CONFIRMED,NONE,"gameplan needs: read prior-day realized P&L per book + persist a cooldown state file across days (none exists). Calibration caveat: thresholds were fit on backtest P&L basis (sim fills+fees), live basis differs - map before arming. Book defs must match (ic=vix252 4 streams; puts_band= put legs with own credit 0.5-2.5, computable at entry)."
loss_standdown_vix_reentry,loss<-1000_until_vixdown,prior realized P&L + prior VIX chg (sim tests vc[i-1] = one-day-stale),premarket,CONFIRMED,NONE,"same state-file build as loss_standdown; replicate the sim's exact staleness (vc[i-1], 5-day cap) or re-test - the live-obvious 'yesterday's vix_chg' is one day FRESHER than what was backtested."
loss_standdown_vix_reentry,loss<-1500_until_vixdown,prior realized P&L + prior VIX chg (sim tests vc[i-1] = one-day-stale),premarket,CONFIRMED,NONE,"same state-file build as loss_standdown; replicate the sim's exact staleness (vc[i-1], 5-day cap) or re-test - the live-obvious 'yesterday's vix_chg' is one day FRESHER than what was backtested."
loss_standdown_vix_reentry,loss<-2000_until_vixdown,prior realized P&L + prior VIX chg (sim tests vc[i-1] = one-day-stale),premarket,CONFIRMED,NONE,"same state-file build as loss_standdown; replicate the sim's exact staleness (vc[i-1], 5-day cap) or re-test - the live-obvious 'yesterday's vix_chg' is one day FRESHER than what was backtested."
fomc_1230_close,fomc_close_1230_UPPERBOUND,FOMC date premarket + a 12:30 CT clock,12:30 CT intraday,WEAKENED,modeled-payoff not execution-faithful,"mechanically buildable today (daemon time_stop pattern + intraday close infra exist - set FOMC-day time_stop 12:30). BUT the tested number is an admitted OPTIMISTIC BOUND: it clips every FOMC-day loss to exactly $0, i.e. assumes a breakeven exit wherever the market is at 12:30. Real 12:30-mark repricing was never computed. Do NOT adopt on this number; run the 12:30 reprice study first (needs ThetaData - not tonight)."
day_pnl_breaker,breaker_-1000_MID,live aggregated day P&L across open positions (marks every poll),"intraday, continuous",WEAKENED,modeled-payoff not execution-faithful,needs NEW infra: daemon aggregates all open-position marks each EXIT_POLL and flattens everything at <= -1000 (close capability exists; the aggregation/breaker logic does not). Tested value is NOT execution-faithful: MID realizes stops WORST-FIRST (not chronological) and the PESS bound is NEGATIVE for ic (-16435/-6380) - edge sign depends on fill assumption. puts_band PESS ~0 (-47/0) is safer but small. Re-sim chronologically at tick level before trusting the delta.
day_pnl_breaker,"flatten at day P&L <= -1000 (MID est; OPT +38987/+30702, PESS -16435/-6380)",live aggregated day P&L across open positions (marks every poll),"intraday, continuous",WEAKENED,modeled-payoff not execution-faithful,needs NEW infra: daemon aggregates all open-position marks each EXIT_POLL and flattens everything at <= -1000 (close capability exists; the aggregation/breaker logic does not). Tested value is NOT execution-faithful: MID realizes stops WORST-FIRST (not chronological) and the PESS bound is NEGATIVE for ic (-16435/-6380) - edge sign depends on fill assumption. puts_band PESS ~0 (-47/0) is safer but small. Re-sim chronologically at tick level before trusting the delta.
